pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2022-10-05,92.3,-2.6,5.67,"Ohtani, Shohei",519390,660271,,foul,,,,,5.0,,R,L,R,ATH,LAA,S,,,3,1,2022,0.08,0.48,-0.1214325435609533,2.2855634831291383,,,,1,5,Bot,,,,,,,6.200919938490007,-134.43359548585502,-3.9508872591941873,-0.2212151812477793,24.87775117112955,-25.73854195896146,3.14,1.5,236.0,74.7,32.0,93.9,2266.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.67,,,,,,,,33,5,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,186.0,-0.008,-0.078,,,,,0.078,88.0,0,0,0.55,0.55,27,37,28,38,2,1,6.0,1.0,,,2.16,-0.08,0.08,33.2,,,,,
FC,2022-10-05,89.4,-2.35,5.82,"Ohtani, Shohei",519390,660271,,foul,,,,,9.0,,R,L,R,ATH,LAA,S,,,3,0,2022,0.27,0.43,0.7197907593451431,1.884617801811086,,,,1,5,Bot,,,,,,,7.058510142708575,-130.12806860623596,-4.685608463808005,1.7583213904775368,24.442425783808638,-26.583483435443952,3.14,1.5,183.0,100.3,12.0,90.5,2147.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.8,,,,,,,,33,4,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,171.0,-0.006,-0.082,,,,,0.082,100.3,0,0,0.556,0.556,27,37,28,38,2,1,6.0,1.0,,,2.4,-0.27,0.27,34.6,,,,,
FC,2022-10-05,90.4,-2.54,5.71,"Ohtani, Shohei",519390,660271,,ball,,,,,14.0,,R,L,R,ATH,LAA,B,,,2,0,2022,0.2,0.45,1.5883919438269918,0.62180564233886,,,,1,5,Bot,,,,,,,9.95005952071608,-131.31913496431113,-7.845071144460386,0.5860994467651015,23.84308075423076,-25.57746156129088,3.13109718422746,1.55031000891418,,,,91.8,2318.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.6,,,,,,,,33,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,174.0,0.009,0.135,,,,,-0.135,,0,0,0.547,0.547,27,37,28,38,2,1,6.0,1.0,,,2.32,-0.2,0.2,32.7,,,,,
ST,2022-10-05,85.9,-2.6,5.77,"Ohtani, Shohei",519390,660271,,ball,,,,,11.0,,R,L,R,ATH,LAA,B,,,1,0,2022,0.78,0.73,-1.5705055872070135,2.804016942951945,,,,1,5,Bot,,,,,,,0.8821239907981013,-125.18863769845449,-2.3087476748427043,8.019209408025509,24.03557906009951,-24.23265807535191,3.05301486192721,1.45346260364464,,,,86.7,2292.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.91,,,,,,,,33,2,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,82.0,0.007,0.07,,,,,-0.07,,0,0,0.54,0.54,27,37,28,38,2,1,6.0,1.0,,,2.34,-0.78,0.78,34.1,,,,,
CU,2022-10-05,69.8,-1.92,6.43,"Ohtani, Shohei",519390,660271,,ball,,,,,13.0,,R,L,R,ATH,LAA,B,,,0,0,2022,0.76,-1.49,-0.0761928538682873,0.322822592310092,,,,1,5,Bot,,,,,,,2.301090970786864,-101.46695432111818,-1.408694156591718,4.692935476255866,20.38083455198949,-42.27704083751496,3.09205076329132,1.43409967206059,,,,69.3,2321.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,54.0,,,,,,,,33,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,31.0,0.003,0.036,,,,,-0.036,,0,0,0.537,0.537,27,37,28,38,2,1,6.0,1.0,,,6.27,-0.76,0.76,50.2,,,,,
SL,2022-10-05,88.3,-1.97,6.36,"Ohtani, Shohei",672478,660271,strikeout,foul_tip,,,,,8.0,Jordan Diaz strikes out on a foul tip.,R,R,R,ATH,LAA,S,2.0,,1,2,2022,0.38,-0.18,-0.1516858512842502,1.8162551619643232,,,,0,5,Bot,,,,,,,3.674859396558314,-128.57493628323112,-4.66802036582026,3.48910646292203,25.12762158502697,-33.46328541523174,3.301,1.504,,,,89.1,2450.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.89,,0.0,0.0,1.0,0.0,0.0,,32,7,Slider,0,0,0,0,0,0,0,0,Standard,Standard,59.0,-0.021,-0.176,,,,,0.176,,0,0,0.558,0.558,27,21,28,22,2,1,6.0,2.0,,,3.09,-0.38,-0.38,44.8,,,,,
FF,2022-10-05,99.3,-2.18,6.0,"Ohtani, Shohei",672478,660271,,foul,,,,,1.0,,R,R,R,ATH,LAA,S,,,1,2,2022,-0.28,1.22,-0.4641768845904443,3.265564264275593,,,,0,5,Bot,,,,,,,5.387985191279087,-144.56060216381093,-4.987269473583826,-5.041660015554277,30.925285092569755,-14.138184679922242,3.301,1.504,258.0,80.3,39.0,100.4,2079.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.83,,,,,,,,32,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,0.0,,,,,0.0,88.0,0,0,0.558,0.558,27,21,28,22,2,1,6.0,2.0,,,1.08,0.28,0.28,41.3,,,,,
ST,2022-10-05,86.9,-2.51,5.61,"Ohtani, Shohei",672478,660271,,foul,,,,,6.0,,R,R,R,ATH,LAA,S,,,1,2,2022,1.35,0.52,0.7362501038113092,2.202656258498083,,,,0,5,Bot,,,,,,,5.04862163165505,-126.4332753034809,-3.041805233022949,13.364625706864809,26.811921725122467,-26.143439013788456,3.301,1.504,175.0,65.9,40.0,87.5,2600.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.76,,,,,,,,32,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,63.0,0.0,0.0,,,,,0.0,88.0,0,0,0.558,0.558,27,21,28,22,2,1,6.0,2.0,,,2.51,-1.35,-1.35,28.6,,,,,
FS,2022-10-05,87.8,-1.95,6.26,"Ohtani, Shohei",672478,660271,,foul,,,,,8.0,,R,R,R,ATH,LAA,S,,,1,2,2022,-0.41,0.09,-0.1276462103967696,1.9646451952226829,,,,0,5,Bot,,,,,,,5.323141537913208,-127.80942805695528,-4.544242557210236,-5.534782316949219,25.32461317115191,-30.478632664904843,3.301,1.504,3.0,77.6,-38.0,89.0,1247.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.6,,,,,,,,32,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,243.0,0.0,0.0,,,,,0.0,88.0,0,0,0.558,0.558,27,21,28,22,2,1,6.0,2.0,,,2.86,0.41,0.41,46.3,,,,,
SI,2022-10-05,94.1,-2.31,5.79,"Ohtani, Shohei",672478,660271,,foul,,,,,4.0,,R,R,R,ATH,LAA,S,,,1,1,2022,-1.76,0.42,-0.4576499892364452,2.204551343230965,,,,0,5,Bot,,,,,,,8.808209831563275,-136.6536259531249,-4.510766768588903,-24.067067094706054,32.40853187300116,-26.04093792246116,3.301,1.504,,,,94.6,1952.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.64,,,,,,,,32,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221.0,-0.008,-0.06,,,,,0.06,,0,0,0.566,0.566,27,21,28,22,2,1,6.0,2.0,,,2.18,1.76,1.76,35.8,,,,,
