pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2022-10-05,94.7,-1.56,5.73,"Trout, Mike",545361,650204,,ball,,,,,14.0,,R,R,R,ATH,LAA,B,,,1,2,2022,-0.06,0.91,0.994886203827604,1.614395241947952,,,,2,8,Top,,,,,,,6.8342646200299555,-137.76876139720892,-7.181439951988455,-2.202640570098509,27.81970703343375,-19.239444399916927,3.47324814141506,1.69577372875079,,,,95.5,2328.0,6.5,662421,669127,660650,643393,676391,669397,664913,665506,668843,53.96,,,,,,,,57,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,204.0,-0.002,0.036,,,,,-0.036,,2,-2,0.929,0.0709999999999999,28,30,28,31,1,3,6.0,1.0,,,1.62,0.06,0.06,45.0,,,,,
SL,2022-10-05,91.3,-1.64,5.8,"Trout, Mike",545361,650204,,ball,,,,,14.0,,R,R,R,ATH,LAA,B,,,0,2,2022,0.15,0.31,0.4892940684317478,-0.7654492824538388,,,,2,8,Top,,,,,,,5.031370718596527,-132.5012800188156,-11.20151351292532,0.5327358260389214,31.261120585593016,-26.11756047534141,3.51239838521349,1.61822763027228,,,,90.9,2538.0,6.4,662421,669127,660650,643393,676391,669397,664913,665506,668843,54.09,,,,,,,,57,4,Slider,3,1,1,3,1,3,1,3,Infield shift,Standard,93.0,-0.001,0.028,,,,,-0.028,,2,-2,0.93,0.0699999999999999,28,30,28,31,1,3,6.0,1.0,,,2.46,-0.15,-0.15,46.8,,,,,
FF,2022-10-05,93.1,2.79,5.49,"Trout, Mike",545361,686610,walk,ball,,,,,11.0,Mike Trout walks.,R,R,L,ATH,LAA,B,,,3,2,2022,0.85,1.27,-0.9519809657045266,2.7542967218339687,,,,1,1,Top,,,,,,,-11.609005210631294,-135.0661272624643,-4.032188371686181,12.94881331023799,30.635131631601787,-15.960339669919072,3.60049263750378,1.74417158040552,,,,94.2,2290.0,7.2,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.33,,0.688744,0.7,1.0,0.0,0.0,,2,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,138.0,-0.02,0.335,,,,,-0.335,,0,0,0.518,0.482,24,30,24,31,1,0,5.0,1.0,,,1.39,0.85,-0.85,36.9,,,,,
FF,2022-10-05,94.3,-1.55,5.79,"Trout, Mike",545361,650204,,foul,,,,,6.0,,R,R,R,ATH,LAA,S,,,0,2,2022,-0.29,1.07,0.3083209861045119,2.3732292423168175,,,,2,8,Top,,,,,,,5.502475056822338,-137.19513563946362,-5.601977415456828,-4.900862416355365,29.07470585719576,-17.631124392304994,3.6,1.74,167.0,77.3,15.0,94.7,2298.0,6.5,662421,669127,660650,643393,676391,669397,664913,665506,668843,54.05,,,,,,,,57,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,200.0,0.0,0.0,,,,,0.0,88.0,2,-2,0.93,0.0699999999999999,28,30,28,31,1,3,6.0,1.0,,,1.49,0.29,0.29,47.8,,,,,
CH,2022-10-05,83.4,2.89,5.29,"Trout, Mike",545361,686610,,foul,,,,,14.0,,R,R,L,ATH,LAA,S,,,3,2,2022,1.31,0.39,1.0484820409707083,2.621971258793939,,,,1,1,Top,,,,,,,-6.941283645178783,-121.34163195313478,-0.4632394987608674,14.338529102893691,23.20526642469822,-28.45425008399072,3.6,1.74,204.0,70.9,59.0,84.8,1752.0,7.2,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.33,,,,,,,,2,6,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,108.0,0.0,0.0,,,,,0.0,88.0,0,0,0.518,0.482,24,30,24,31,1,0,5.0,1.0,,,2.88,1.31,-1.31,33.0,,,,,
FF,2022-10-05,94.5,2.8,5.53,"Trout, Mike",545361,686610,,ball,,,,,11.0,,R,R,L,ATH,LAA,B,,,2,2,2022,0.67,1.48,-0.2387129206507713,4.260890909261586,,,,1,1,Top,,,,,,,-9.514786398348376,-137.2435094543224,-0.8443855563432598,10.654684166860983,33.06294410199383,-13.657757389899182,3.62008503922925,1.76357018640906,,,,95.2,2307.0,7.0,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.48,,,,,,,,2,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,139.0,-0.006,0.115,,,,,-0.115,,0,0,0.524,0.476,24,30,24,31,1,0,5.0,1.0,,,1.1,0.67,-0.67,36.6,,,,,
FF,2022-10-05,95.1,-1.56,5.79,"Trout, Mike",545361,650204,,foul,,,,,8.0,,R,R,R,ATH,LAA,S,,,0,1,2022,-0.27,1.03,-0.0603267872972433,1.6479499361620666,,,,2,8,Top,,,,,,,4.545942168609088,-138.27099394674846,-7.535157291177302,-4.485691614299537,30.81208607923141,-17.438303946911166,3.6,1.74,253.0,87.1,22.0,95.2,2326.0,6.4,662421,669127,660650,643393,676391,669397,664913,665506,668843,54.12,,,,,,,,57,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,204.0,0.003,-0.059,,,,,0.059,88.0,2,-2,0.927,0.0729999999999999,28,30,28,31,1,3,6.0,1.0,,,1.49,0.27,0.27,48.8,,,,,
ST,2022-10-05,80.6,3.13,5.26,"Trout, Mike",545361,686610,,ball,,,,,12.0,,R,R,L,ATH,LAA,B,,,1,2,2022,-1.71,-0.06,1.4611292240915716,3.064775697714363,,,,1,1,Top,,,,,,,-0.4554558346246818,-117.32189639532037,1.973126350948947,-15.595824117387444,23.75622080028317,-33.34077806499289,3.60049263750378,1.70538121816953,,,,81.1,2141.0,6.7,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.75,,,,,,,,2,4,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,293.0,-0.003,0.036,,,,,-0.036,,0,0,0.527,0.473,24,30,24,31,1,0,5.0,1.0,,,3.59,-1.71,1.71,28.4,,,,,
FF,2022-10-05,95.2,-1.73,5.76,"Trout, Mike",545361,650204,,swinging_strike,,,,,9.0,,R,R,R,ATH,LAA,S,,,0,0,2022,-0.15,1.05,0.3756797817136179,1.739963289924769,,,,2,8,Top,,,,,,,5.89987720052362,-138.45764648834947,-7.292291632600304,-3.283015463743157,30.896210609747307,-17.206014982949263,3.6,1.74,,,,95.5,2335.0,6.5,662421,669127,660650,643393,676391,669397,664913,665506,668843,54.01,,,,,,,,57,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,206.0,0.002,-0.043,,,,,0.043,,2,-2,0.925,0.0749999999999999,28,30,28,31,1,3,6.0,1.0,,,1.47,0.15,0.15,46.3,,,,,
CU,2022-10-05,76.5,2.57,5.73,"Trout, Mike",545361,686610,,called_strike,,,,,12.0,,R,R,L,ATH,LAA,S,,,1,1,2022,-1.49,-0.81,0.985764315320323,3.4454970838564067,,,,1,1,Top,,,,,,,-0.6709357189159422,-111.30964607753202,3.8024653684739422,-12.133045793401925,21.82850911463773,-39.83967275037152,3.54173211856816,1.68598944712318,,,,77.1,2067.0,7.0,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.55,,,,,,,,2,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,309.0,0.004,-0.057,,,,,0.057,,0,0,0.523,0.477,24,30,24,31,1,0,5.0,1.0,,,4.73,-1.49,1.49,44.9,,,,,
